ID	Score	Activity
NCGC00357000-01	0.295330529	0
NCGC00357012-01	0.591875386	1
NCGC00356939-01	0.399407147	0
NCGC00356955-01	0.42508763	0
NCGC00357262-01	0.424249233	0
NCGC00356991-01	0.611672373	1
NCGC00357203-01	0.432050199	0
NCGC00357049-01	0.370022368	0
NCGC00357073-01	0.356265348	0
NCGC00357043-01	0.280513602	0
NCGC00357269-01	0.179029095	0
NCGC00357266-01	0.321908785	0
NCGC00357076-01	0.263259487	0
NCGC00357153-01	0.189006796	0
NCGC00357138-01	0.261766922	0
NCGC00357071-01	0.22655077	0
NCGC00357274-01	0.184351625	0
NCGC00356981-01	0.31943929	0
NCGC00357278-01	0.283159206	0
NCGC00357113-01	0.193124824	0
NCGC00357218-01	0.791209518	1
NCGC00357018-01	0.959672191	1
NCGC00357048-01	0.152566753	0
NCGC00357162-01	0.171190742	0
NCGC00356941-01	0.136150587	0
NCGC00357184-01	0.140624394	0
NCGC00357238-01	0.454384695	0
NCGC00357220-01	0.406072894	0
NCGC00357252-01	0.415097116	0
NCGC00357159-01	0.179874206	0
NCGC00356947-01	0.248962533	0
NCGC00357063-01	0.190119289	0
NCGC00356982-01	0.272164182	0
NCGC00357037-01	0.217714723	0
NCGC00356975-01	0.192548365	0
NCGC00357169-01	0.231282421	0
NCGC00357022-01	0.231901392	0
NCGC00357165-01	0.196997097	0
NCGC00357122-01	0.322564271	0
NCGC00357212-01	0.178721877	0
NCGC00357263-01	0.401459424	0
NCGC00357052-01	0.337341035	0
NCGC00356952-01	0.277342327	0
NCGC00357225-01	0.19710451	0
NCGC00357105-01	0.210857789	0
NCGC00356944-01	0.231697474	0
NCGC00356977-01	0.429153239	0
NCGC00357053-01	0.287604603	0
NCGC00357202-01	0.190615623	0
NCGC00357013-01	0.471314834	0
NCGC00357131-01	0.205777056	0
NCGC00357127-01	0.190861555	0
NCGC00357147-01	0.193834774	0
NCGC00357267-01	0.183424738	0
NCGC00356979-01	0.182340263	0
NCGC00357179-01	0.202515472	0
NCGC00356945-01	0.186068832	0
NCGC00357068-01	0.218838297	0
NCGC00357002-01	0.377479664	0
NCGC00356974-01	0.226857158	0
NCGC00357109-01	0.694117225	1
NCGC00356988-01	0.617309309	1
NCGC00357117-01	0.61137392	1
NCGC00357239-01	0.25230756	0
NCGC00356961-01	0.376783266	0
NCGC00356966-01	0.227824383	0
NCGC00356996-01	0.17494402	0
NCGC00356950-01	0.294999788	0
NCGC00356969-01	0.217977204	0
NCGC00357050-01	0.186575528	0
NCGC00357258-01	0.193032561	0
NCGC00357186-01	0.212025131	0
NCGC00357115-01	0.203168005	0
NCGC00356940-01	0.468609555	0
NCGC00357130-01	0.495341399	0
NCGC00356959-01	0.490514231	0
NCGC00356985-01	0.264528068	0
NCGC00357125-01	0.207195797	0
NCGC00357270-01	0.173230414	0
NCGC00357031-01	0.3028777	0
NCGC00357137-01	0.31264585	0
NCGC00357102-01	0.206544995	0
NCGC00357228-01	0.232927035	0
NCGC00356965-01	0.394431125	0
NCGC00357151-01	0.290791281	0
NCGC00357280-01	0.552065591	1
NCGC00357097-01	0.494060864	0
NCGC00357272-01	0.219495947	0
NCGC00357229-01	0.376881136	0
NCGC00357200-01	0.241874883	0
NCGC00357273-01	0.563503092	1
NCGC00357088-01	0.169411959	0
NCGC00357101-01	0.179467958	0
NCGC00357287-01	0.325700945	0
NCGC00357253-01	0.403985136	0
NCGC00357177-01	0.371614369	0
NCGC00357152-01	0.194943622	0
NCGC00357140-01	0.255136967	0
NCGC00357086-01	0.206501684	0
NCGC00357150-01	0.195612129	0
NCGC00357040-01	0.234853046	0
NCGC00357232-01	0.180573721	0
NCGC00357172-01	0.588076108	1
NCGC00357135-01	0.478824945	0
NCGC00357207-01	0.561132273	1
NCGC00356990-01	0.539667521	1
NCGC00357276-01	0.33652426	0
NCGC00357016-01	0.292614823	0
NCGC00357247-01	0.315564831	0
NCGC00357183-01	0.651373488	1
NCGC00357286-01	0.460913431	0
NCGC00357255-01	0.526491688	1
NCGC00357025-01	0.406751155	0
NCGC00357008-01	0.437709751	0
NCGC00357128-01	0.440853363	0
NCGC00357129-01	0.274082502	0
NCGC00356978-01	0.652162053	1
NCGC00357195-01	0.278838578	0
NCGC00357215-01	0.278340894	0
NCGC00357038-01	0.306340647	0
NCGC00357208-01	0.867298062	1
NCGC00357007-01	0.493109025	0
NCGC00356989-01	0.677395088	1
NCGC00357246-01	0.657050346	1
NCGC00357081-01	0.533642125	1
NCGC00357281-01	0.755060243	1
NCGC00357244-01	0.301024734	0
NCGC00357194-01	0.219630525	0
NCGC00357193-01	0.216012139	0
NCGC00357006-01	0.334293775	0
NCGC00357041-01	0.198133019	0
NCGC00357074-01	0.194851725	0
NCGC00357166-01	0.200878339	0
NCGC00357070-01	0.191318081	0
NCGC00357222-01	0.191390753	0
NCGC00357245-01	0.218174965	0
NCGC00357217-01	0.296348225	0
NCGC00357015-01	0.277124058	0
NCGC00357261-01	0.470690185	0
NCGC00357060-01	0.225590973	0
NCGC00357104-01	0.287375688	0
NCGC00357248-01	0.304478789	0
NCGC00357176-01	0.263030875	0
NCGC00357187-01	0.402001452	0
NCGC00357066-01	0.207227684	0
NCGC00357154-01	0.327291134	0
NCGC00357216-01	0.244936065	0
NCGC00357148-01	0.582237526	1
NCGC00357078-01	0.282948024	0
NCGC00357027-01	0.350241908	0
NCGC00357134-01	0.43445972	0
NCGC00357180-01	0.49968021	0
NCGC00356986-01	0.122239644	0
NCGC00356946-01	0.161022382	0
NCGC00356970-01	0.423556962	0
NCGC00357191-01	0.429691382	0
NCGC00357077-01	0.329100961	0
NCGC00357069-01	0.258406613	0
NCGC00356958-01	0.28909558	0
NCGC00357121-01	0.485034914	0
NCGC00357067-01	0.275298235	0
NCGC00357243-01	0.26619204	0
NCGC00357100-01	0.248487013	0
NCGC00356960-01	0.259182538	0
NCGC00357136-01	0.240995075	0
NCGC00357158-01	0.197925902	0
NCGC00356942-01	0.369042558	0
NCGC00357126-01	0.306374492	0
NCGC00357110-01	0.563498495	1
NCGC00357178-01	0.597531127	1
NCGC00357167-01	0.308621144	0
NCGC00357096-01	0.197156375	0
NCGC00357230-01	0.678566313	1
NCGC00357257-01	0.193946872	0
NCGC00356951-01	0.318794255	0
NCGC00357197-01	0.228007217	0
NCGC00357149-01	0.622002581	1
NCGC00357142-01	0.259167642	0
NCGC00357231-01	0.633184892	1
NCGC00357044-01	0.364693495	0
NCGC00357209-01	0.290566631	0
NCGC00357045-01	0.253005559	0
NCGC00357075-01	0.357200385	0
NCGC00356938-01	0.326447013	0
NCGC00357065-01	0.287638227	0
NCGC00357094-01	0.274248608	0
NCGC00357083-01	0.366412146	0
NCGC00357085-01	0.656102831	1
NCGC00357236-01	0.197807913	0
NCGC00357035-01	0.188680121	0
NCGC00357108-01	0.228435217	0
NCGC00357235-01	0.287301339	0
NCGC00357224-01	0.738522239	1
NCGC00357211-01	0.369083537	0
NCGC00357039-01	0.242905281	0
NCGC00357264-01	0.396120824	0
NCGC00357285-01	0.321327013	0
NCGC00357032-01	0.242095127	0
NCGC00357146-01	0.312672338	0
NCGC00357059-01	0.239700186	0
NCGC00357061-01	0.214806127	0
NCGC00357190-01	0.214136935	0
NCGC00356943-01	0.316270787	0
NCGC00357237-01	0.277730963	0
NCGC00357005-01	0.348617251	0
NCGC00357034-01	0.364650976	0
NCGC00356992-01	0.362540281	0
NCGC00357254-01	0.198403901	0
NCGC00357199-01	0.259394966	0
NCGC00356957-01	0.448992201	0
NCGC00356968-01	0.509149341	1
NCGC00357268-01	0.28552424	0
NCGC00357256-01	0.226577134	0
NCGC00357141-01	0.216422421	0
NCGC00357093-01	0.233155773	0
NCGC00357087-01	0.223336148	0
NCGC00357223-01	0.260431785	0
NCGC00357119-01	0.252971886	0
NCGC00357003-01	0.261156854	0
NCGC00357058-01	0.236965689	0
NCGC00357275-01	0.400665028	0
NCGC00357014-01	0.454355754	0
NCGC00357011-01	0.653777802	1
NCGC00356976-01	0.342289866	0
NCGC00357175-01	0.689835843	1
NCGC00357021-01	0.927861044	1
NCGC00357221-01	0.459356406	0
NCGC00356972-01	0.328637315	0
NCGC00357133-01	0.294345112	0
NCGC00357181-01	0.431169207	0
NCGC00357056-01	0.444556454	0
NCGC00356980-01	0.258246309	0
NCGC00357206-01	0.311695851	0
NCGC00357250-01	0.373843193	0
NCGC00357227-01	0.291598892	0
NCGC00356997-01	0.354822207	0
NCGC00356998-01	0.343072177	0
NCGC00357282-01	0.30036956	0
NCGC00357029-01	0.432488684	0
NCGC00356948-01	0.449471412	0
NCGC00357054-01	0.259138412	0
NCGC00356956-01	0.488320669	0
NCGC00356994-01	0.815208139	1
NCGC00356949-01	0.728150859	1
NCGC00357234-01	0.491925658	0
NCGC00356967-01	0.648233429	1
NCGC00357111-01	0.525029411	1
NCGC00357155-01	0.495202159	0
NCGC00357098-01	0.379698434	0
NCGC00357156-01	0.364681935	0
NCGC00357019-01	0.483940498	0
NCGC00357095-01	0.429967206	0
NCGC00357226-01	0.349261356	0
NCGC00357249-01	0.569368641	1
NCGC00357017-01	0.683565925	1
NCGC00357259-01	0.694751909	1
NCGC00357051-01	0.729296956	1
NCGC00356954-01	0.200325634	0
NCGC00357020-01	0.239740066	0
NCGC00357168-01	0.22659394	0
NCGC00357283-01	0.222548341	0
NCGC00357210-01	0.270690937	0
NCGC00357118-01	0.449670528	0
NCGC00357144-01	0.271171164	0
